Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"16oz Shake","Beverages","NA BEVERAGE",4/22/2018,11,34.45,35.75,342
317 Marketplace,"16oz Shake - ---Chocolate","Beverages","NA BEVERAGE",4/22/2018,2,0,0,0
317 Marketplace,"16oz Shake - ---Oreo","Beverages","NA BEVERAGE",4/22/2018,5,0,0,0
317 Marketplace,"16oz Shake - ---Strawberry","Beverages","NA BEVERAGE",4/22/2018,2,0,0,0
317 Marketplace,"16oz Shake - ---Vanilla","Beverages","NA BEVERAGE",4/22/2018,1,0,0,0
317 Marketplace,"22oz Fountain Drink","Beverages","NA BEVERAGE",4/22/2018,73,138.25,146,251
317 Marketplace,"32oz Fountain Drink","Beverages","NA BEVERAGE",4/22/2018,18,39.48,40.5,252
317 Marketplace,"32oz Refill","Beverages","NA BEVERAGE",4/22/2018,7,11.27,14,644
317 Marketplace,"Banh Mi","EGGWICH","FOOD",4/22/2018,2,16.5,16.5,663
317 Marketplace,"---Birthday","Sides","FOOD",4/22/2018,3,0,0,648
317 Marketplace,"Brunchwich","EGGWICH","FOOD",4/22/2018,3,24.75,24.75,661
317 Marketplace,"Chips","Sides","FOOD",4/22/2018,95,112.28,118.75,20002
317 Marketplace,"Cobb Salad Wrap","FAVORITES","FOOD",4/22/2018,5,36.09,38.75,466
317 Marketplace,"---Coca-Cola (Reg)","Beverages","NA BEVERAGE",4/22/2018,2,0,0,289
317 Marketplace,"Coldwich","MODIFIERS","FOOD",4/22/2018,2,0,0,145
317 Marketplace,"Courtney's Cake","Sides","FOOD",4/22/2018,3,5.85,5.85,646
317 Marketplace,"Courtney's Cookie","Sides","FOOD",4/22/2018,3,4.5,4.5,311
317 Marketplace,"Gyro Fav","FAVORITES","FOOD",4/22/2018,7,39.87,54.25,426
317 Marketplace,"Ham","KIDS","FOOD",4/22/2018,1,0,0,363
317 Marketplace,"Hotwich","MODIFIERS","FOOD",4/22/2018,4,0,0,144
317 Marketplace,"Italian Club","FAVORITES","FOOD",4/22/2018,2,15.5,15.5,263
317 Marketplace,"Juice Box","Beverages","NA BEVERAGE",4/22/2018,1,1,1,1305
317 Marketplace,"K Choc Milk","KIDS","FOOD",4/22/2018,3,0,0,11
317 Marketplace,"K Grilled Cheese","KIDS","FOOD",4/22/2018,1,5,5,4
317 Marketplace,"K Juice","KIDS","FOOD",4/22/2018,2,0,0,12
317 Marketplace,"K Milk","KIDS","FOOD",4/22/2018,3,1.08,1.25,10
317 Marketplace,"K PB & J","KIDS","FOOD",4/22/2018,4,18.91,20,3
317 Marketplace,"Kidswich","KIDS","FOOD",4/22/2018,4,20,20,2
317 Marketplace,"---Lay's Regular","Sides","FOOD",4/22/2018,1,0,0,232
317 Marketplace,"LRG Black Bean Patty!","VEG","FOOD",4/22/2018,2,17,17,532
317 Marketplace,"LRG Buffalo Chicken!","Chicken","FOOD",4/22/2018,1,8.5,8.5,525
317 Marketplace,"LRG Chicken Cordon Bleu!","HAM","FOOD",4/22/2018,1,8.5,8.5,538
317 Marketplace,"LRG Chicken Pesto!","Chicken","FOOD",4/22/2018,1,8.5,8.5,526
317 Marketplace,"LRG Corned Beef!","Beef","FOOD",4/22/2018,1,8.5,8.5,540
317 Marketplace,"LRG French Dip!","Beef","FOOD",4/22/2018,1,8.5,8.5,541
317 Marketplace,"LRG Grinder!","Italian","FOOD",4/22/2018,7,56.59,59.5,535
317 Marketplace,"LRG Ham!","HAM","FOOD",4/22/2018,2,17,17,536
317 Marketplace,"LRG Meatball!","Italian","FOOD",4/22/2018,1,8.5,8.5,534
317 Marketplace,"LRG Muffuletta!","HAM","FOOD",4/22/2018,1,4.98,8.5,537
317 Marketplace,"LRG P2-Bacon","MODIFIERS","FOOD",4/22/2018,1,1.5,1.5,51
317 Marketplace,"LRG P3-Avocado","MODIFIERS","FOOD",4/22/2018,1,1.5,1.5,52
317 Marketplace,"LRG P3-Sliced Egg","MODIFIERS","FOOD",4/22/2018,1,1.5,1.5,54
317 Marketplace,"LRG Roast Beef!","Beef","FOOD",4/22/2018,2,13.15,17,539
317 Marketplace,"LRG Surf & Turf!","Seafood","FOOD",4/22/2018,1,8.5,8.5,544
317 Marketplace,"LRG The Avocado","VEG","FOOD",4/22/2018,3,25.5,25.5,530
317 Marketplace,"LRG Turkey!","Turkey","FOOD",4/22/2018,5,42.5,42.5,527
317 Marketplace,"LRG Wicked!","Wicked","FOOD",4/22/2018,1,10,10,520
317 Marketplace,"LTW Egg Salad!","CLASSIC","FOOD",4/22/2018,1,3.52,6,522
317 Marketplace,"LTW Turkey!","Turkey","FOOD",4/22/2018,1,6,6,527
317 Marketplace,"LTW Turkeywich!","Turkey","FOOD",4/22/2018,2,12,12,528
317 Marketplace,"Meatball Grinder","FAVORITES","FOOD",4/22/2018,3,23.25,23.25,190
317 Marketplace,"P1-American","MODIFIERS","FOOD",4/22/2018,1,0,0,56
317 Marketplace,"P1-Buffalo","MODIFIERS","FOOD",4/22/2018,2,0,0,88
317 Marketplace,"P1-Pesto","MODIFIERS","FOOD",4/22/2018,2,0,0,91
317 Marketplace,"P2-Bleu Cheese","MODIFIERS","FOOD",4/22/2018,1,0,0,57
317 Marketplace,"P2-Cheddar","MODIFIERS","FOOD",4/22/2018,2,0,0,60
317 Marketplace,"P2-Hot Pepper Mix","MODIFIERS","FOOD",4/22/2018,1,0,0,136
317 Marketplace,"P2-Mozzarella","MODIFIERS","FOOD",4/22/2018,3,0,0,65
317 Marketplace,"P2-Mushrooms","MODIFIERS","FOOD",4/22/2018,3,0,0,128
317 Marketplace,"P2-Provolone","MODIFIERS","FOOD",4/22/2018,1,0,0,63
317 Marketplace,"P2-Sauerkraut","MODIFIERS","FOOD",4/22/2018,1,0,0,133
317 Marketplace,"P2-Swiss","MODIFIERS","FOOD",4/22/2018,3,0,0,59
317 Marketplace,"P3-1000 Island","MODIFIERS","FOOD",4/22/2018,1,0,0,98
317 Marketplace,"P3-Avocado","MODIFIERS","FOOD",4/22/2018,3,0,0,318
317 Marketplace,"P3-Balsamic","MODIFIERS","FOOD",4/22/2018,3,0,0,87
317 Marketplace,"P3-Bell Peppers","MODIFIERS","FOOD",4/22/2018,4,0,0,124
317 Marketplace,"P3-Black Olives","MODIFIERS","FOOD",4/22/2018,2,0,0,126
317 Marketplace,"P3-Chipotle Mayo","MODIFIERS","FOOD",4/22/2018,1,0,0,329
317 Marketplace,"P3-Crispy Strings","MODIFIERS","FOOD",4/22/2018,3,0,0,111
317 Marketplace,"P3-Cucumbers","MODIFIERS","FOOD",4/22/2018,3,0,0,118
317 Marketplace,"P3-Jalapenos","MODIFIERS","FOOD",4/22/2018,1,0,0,123
317 Marketplace,"P3-Pickles","MODIFIERS","FOOD",4/22/2018,1,0,0,115
317 Marketplace,"P3-Ranch","MODIFIERS","FOOD",4/22/2018,1,0,0,102
317 Marketplace,"P3-Red Onions","MODIFIERS","FOOD",4/22/2018,5,0,0,110
317 Marketplace,"P3-Sliced Egg*","MODIFIERS","FOOD",4/22/2018,1,0,0,628
317 Marketplace,"P3-Yellow Mustard","MODIFIERS","FOOD",4/22/2018,1,0,0,72
317 Marketplace,"P4-Garlic","MODIFIERS","FOOD",4/22/2018,1,0,0,142
317 Marketplace,"P4-Lettuce","MODIFIERS","FOOD",4/22/2018,6,0,0,112
317 Marketplace,"P4-Spinach","MODIFIERS","FOOD",4/22/2018,4,0,0,120
317 Marketplace,"P4-Tomato","MODIFIERS","FOOD",4/22/2018,6,0,0,114
317 Marketplace,"Philly Cheesesteak","FAVORITES","FOOD",4/22/2018,7,54.25,54.25,186
317 Marketplace,"Powerade","Beverages","NA BEVERAGE",4/22/2018,1,2.25,2.25,1310
317 Marketplace,"REG Black Bean Patty!","VEG","FOOD",4/22/2018,3,12.5,18,532
317 Marketplace,"REG Buffalo Chicken!","Chicken","FOOD",4/22/2018,5,30,30,525
317 Marketplace,"REG Caprese!","VEG","FOOD",4/22/2018,3,15.97,18,531
317 Marketplace,"REG Chicken Cordon Bleu!","HAM","FOOD",4/22/2018,1,6,6,538
317 Marketplace,"REG Chicken Pesto!","Chicken","FOOD",4/22/2018,1,6,6,526
317 Marketplace,"REG Chicken Salad!","CLASSIC","FOOD",4/22/2018,3,18,18,521
317 Marketplace,"REG Chicken!","Chicken","FOOD",4/22/2018,8,48,48,524
317 Marketplace,"REG Club!","CLASSIC","FOOD",4/22/2018,3,18,18,523
317 Marketplace,"REG Corned Beef!","Beef","FOOD",4/22/2018,1,6,6,540
