Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"16oz Shake","Beverages","NA BEVERAGE",4/21/2018,17,50.34,53.5,342
317 Marketplace,"16oz Shake - ---Chocolate","Beverages","NA BEVERAGE",4/21/2018,3,0,0,0
317 Marketplace,"16oz Shake - ---Oreo","Beverages","NA BEVERAGE",4/21/2018,2,0,0,0
317 Marketplace,"16oz Shake - ---Strawberry","Beverages","NA BEVERAGE",4/21/2018,1,0,0,0
317 Marketplace,"16oz Shake - ---Vanilla","Beverages","NA BEVERAGE",4/21/2018,2,0,0,0
317 Marketplace,"22oz Fountain Drink","Beverages","NA BEVERAGE",4/21/2018,109,203.39,218,251
317 Marketplace,"22oz Fountain Drink - ---Coca-Cola (Reg)","Beverages","NA BEVERAGE",4/21/2018,1,0,0,0
317 Marketplace,"22oz Shake","Beverages","NA BEVERAGE",4/21/2018,1,4,4,343
317 Marketplace,"22oz Shake - ---Strawberry","Beverages","NA BEVERAGE",4/21/2018,1,0,0,0
317 Marketplace,"32oz Fountain Drink","Beverages","NA BEVERAGE",4/21/2018,23,48.78,51.75,252
317 Marketplace,"32oz Refill","Beverages","NA BEVERAGE",4/21/2018,3,5.7,6,644
317 Marketplace,"---Baked Lay's","Sides","FOOD",4/21/2018,1,0,0,233
317 Marketplace,"---BBQ Chips","Sides","FOOD",4/21/2018,1,0,0,237
317 Marketplace,"---Birthday","Sides","FOOD",4/21/2018,1,0,0,648
317 Marketplace,"Bottled Water","Beverages","NA BEVERAGE",4/21/2018,2,3.5,3.5,1760
317 Marketplace,"Brunchwich","EGGWICH","FOOD",4/21/2018,2,16.5,16.5,661
317 Marketplace,"Can Drink","Beverages","NA BEVERAGE",4/21/2018,1,1.5,1.5,1770
317 Marketplace,"---Candy Token","KIDS","FOOD",4/21/2018,1,0,0,354
317 Marketplace,"---Carrot","Sides","FOOD",4/21/2018,3,0,0,649
317 Marketplace,"Cheeseburgerwich","EGGWICH","FOOD",4/21/2018,2,16.5,16.5,662
317 Marketplace,"Chips","Sides","FOOD",4/21/2018,134,160.63,167.5,20002
317 Marketplace,"---Chips House","Sides","FOOD",4/21/2018,3,0,0,42
317 Marketplace,"---Chocolate","Beverages","NA BEVERAGE",4/21/2018,2,0,0,200
317 Marketplace,"Cobb Salad Wrap","FAVORITES","FOOD",4/21/2018,4,31,31,466
317 Marketplace,"---Coca-Cola (Lg)","Beverages","NA BEVERAGE",4/21/2018,1,0,0,290
317 Marketplace,"Coldwich","MODIFIERS","FOOD",4/21/2018,4,0,0,145
317 Marketplace,"Courtney's Cake","Sides","FOOD",4/21/2018,4,7.15,7.8,646
317 Marketplace,"Courtney's Cookie","Sides","FOOD",4/21/2018,10,13.39,15,311
317 Marketplace,"Gyro Fav","FAVORITES","FOOD",4/21/2018,3,23.25,23.25,426
317 Marketplace,"Hotwich","MODIFIERS","FOOD",4/21/2018,15,0,0,144
317 Marketplace,"Italian Club","FAVORITES","FOOD",4/21/2018,8,62,62,263
317 Marketplace,"Juice Box","Beverages","NA BEVERAGE",4/21/2018,1,1,1,1305
317 Marketplace,"K Apple Slices","KIDS","FOOD",4/21/2018,1,0,0,367
317 Marketplace,"K Cheese Pizzawich","KIDS","FOOD",4/21/2018,5,25,25,6
317 Marketplace,"K Choc Milk","KIDS","FOOD",4/21/2018,5,0,0,11
317 Marketplace,"K Grilled Cheese","KIDS","FOOD",4/21/2018,3,15,15,4
317 Marketplace,"K Juice","KIDS","FOOD",4/21/2018,5,0,0,12
317 Marketplace,"K Milk","KIDS","FOOD",4/21/2018,4,0,0,10
317 Marketplace,"K PB & J","KIDS","FOOD",4/21/2018,2,10,10,3
317 Marketplace,"Kidswich","KIDS","FOOD",4/21/2018,7,33.64,35,2
317 Marketplace,"---Lay's Regular","Sides","FOOD",4/21/2018,1,0,0,232
317 Marketplace,"---Lemonade (Lg)","Beverages","NA BEVERAGE",4/21/2018,1,0,0,307
317 Marketplace,"LRG Black Bean Patty!","VEG","FOOD",4/21/2018,3,22.3,25.5,532
317 Marketplace,"LRG Buffalo Chicken!","Chicken","FOOD",4/21/2018,6,49.28,51,525
317 Marketplace,"LRG Chicken Pesto!","Chicken","FOOD",4/21/2018,1,8.5,8.5,526
317 Marketplace,"LRG Chicken!","Chicken","FOOD",4/21/2018,5,38.59,42.5,524
317 Marketplace,"LRG Club!","CLASSIC","FOOD",4/21/2018,1,4.74,8.5,523
317 Marketplace,"LRG Double Meat","MODIFIERS","FOOD",4/21/2018,1,3,3,53
317 Marketplace,"LRG French Dip!","Beef","FOOD",4/21/2018,1,8.5,8.5,541
317 Marketplace,"LRG Grinder!","Italian","FOOD",4/21/2018,4,34,34,535
317 Marketplace,"LRG Ham!","HAM","FOOD",4/21/2018,1,8.5,8.5,536
317 Marketplace,"LRG Krab Salad!","Seafood","FOOD",4/21/2018,1,8.5,8.5,542
317 Marketplace,"LRG P2-Bacon","MODIFIERS","FOOD",4/21/2018,2,3,3,51
317 Marketplace,"LRG P2-Double Cheese","MODIFIERS","FOOD",4/21/2018,1,1.5,1.5,50
317 Marketplace,"LRG P3-Avocado","MODIFIERS","FOOD",4/21/2018,2,3,3,52
317 Marketplace,"LRG P3-Sliced Egg","MODIFIERS","FOOD",4/21/2018,1,1.5,1.5,54
317 Marketplace,"LRG Pepperoni Pizzawich!","Italian","FOOD",4/21/2018,1,8.5,8.5,533
317 Marketplace,"LRG Roast Beef!","Beef","FOOD",4/21/2018,2,17,17,539
317 Marketplace,"LRG Surf & Turf!","Seafood","FOOD",4/21/2018,1,8.5,8.5,544
317 Marketplace,"LRG The Avocado","VEG","FOOD",4/21/2018,1,8.5,8.5,530
317 Marketplace,"LRG Turkey!","Turkey","FOOD",4/21/2018,14,110.32,119,527
317 Marketplace,"LRG Wicked!","Wicked","FOOD",4/21/2018,4,35.96,40,520
317 Marketplace,"LTW Buffalo Chicken!","Chicken","FOOD",4/21/2018,1,6,6,525
317 Marketplace,"LTW Chicken!","Chicken","FOOD",4/21/2018,1,6,6,524
317 Marketplace,"LTW Ham!","HAM","FOOD",4/21/2018,1,6,6,536
317 Marketplace,"LTW P2-Bacon","MODIFIERS","FOOD",4/21/2018,1,1,1,51
317 Marketplace,"LTW P3-Avocado","MODIFIERS","FOOD",4/21/2018,2,2,2,52
317 Marketplace,"LTW Turkey!","Turkey","FOOD",4/21/2018,3,16.36,18,527
317 Marketplace,"LTW Turkeywich!","Turkey","FOOD",4/21/2018,1,6,6,528
317 Marketplace,"Make It A Large","MODIFIERS","FOOD",4/21/2018,3,9,9,554
317 Marketplace,"Meatball Grinder","FAVORITES","FOOD",4/21/2018,2,11.16,15.5,190
317 Marketplace,"---Oreo","Beverages","NA BEVERAGE",4/21/2018,2,0,0,201
317 Marketplace,"P1-American","MODIFIERS","FOOD",4/21/2018,1,0,0,56
317 Marketplace,"P1-Pesto","MODIFIERS","FOOD",4/21/2018,4,0,0,91
317 Marketplace,"P2-Bleu Cheese","MODIFIERS","FOOD",4/21/2018,1,0,0,57
317 Marketplace,"P2-Caramel Onion","MODIFIERS","FOOD",4/21/2018,1,0,0,109
317 Marketplace,"P2-Cheddar","MODIFIERS","FOOD",4/21/2018,6,0,0,60
317 Marketplace,"P2-Hot Pepper Mix","MODIFIERS","FOOD",4/21/2018,1,0,0,136
317 Marketplace,"P2-Marinara","MODIFIERS","FOOD",4/21/2018,2,0,0,90
317 Marketplace,"P2-Mozzarella","MODIFIERS","FOOD",4/21/2018,4,0,0,65
317 Marketplace,"P2-Mushrooms","MODIFIERS","FOOD",4/21/2018,1,0,0,128
317 Marketplace,"P2-Provolone","MODIFIERS","FOOD",4/21/2018,2,0,0,63
317 Marketplace,"P2-Quinoa","MODIFIERS","FOOD",4/21/2018,1,0,0,339
317 Marketplace,"P2-Side Au Jus","MODIFIERS","FOOD",4/21/2018,1,0,0,105
317 Marketplace,"P2-Swiss","MODIFIERS","FOOD",4/21/2018,3,0,0,59
317 Marketplace,"P3-Avocado","MODIFIERS","FOOD",4/21/2018,3,0,0,318
317 Marketplace,"P3-Black Olives","MODIFIERS","FOOD",4/21/2018,4,0,0,126
317 Marketplace,"P3-Crispy Strings","MODIFIERS","FOOD",4/21/2018,1,0,0,111
317 Marketplace,"P3-Honey Mustard","MODIFIERS","FOOD",4/21/2018,3,0,0,74
317 Marketplace,"P3-Jalapeno Hummus","MODIFIERS","FOOD",4/21/2018,1,0,0,317
317 Marketplace,"P3-Light Mayo","MODIFIERS","FOOD",4/21/2018,1,0,0,77
317 Marketplace,"P3-Oil","MODIFIERS","FOOD",4/21/2018,1,0,0,137
317 Marketplace,"P3-Pickles","MODIFIERS","FOOD",4/21/2018,4,0,0,115
317 Marketplace,"P3-Ranch","MODIFIERS","FOOD",4/21/2018,1,0,0,102
317 Marketplace,"P3-Red Onions","MODIFIERS","FOOD",4/21/2018,1,0,0,110
317 Marketplace,"P3-Regular Mayo","MODIFIERS","FOOD",4/21/2018,4,0,0,76
317 Marketplace,"P3-Roast Red Peppers","MODIFIERS","FOOD",4/21/2018,1,0,0,319
317 Marketplace,"P3-Sliced Egg*","MODIFIERS","FOOD",4/21/2018,1,0,0,628
317 Marketplace,"P3-Spicy Ranch","MODIFIERS","FOOD",4/21/2018,1,0,0,103
317 Marketplace,"P4-Garlic","MODIFIERS","FOOD",4/21/2018,1,0,0,142
317 Marketplace,"P4-Lettuce","MODIFIERS","FOOD",4/21/2018,6,0,0,112
317 Marketplace,"P4-Oregano","MODIFIERS","FOOD",4/21/2018,2,0,0,139
317 Marketplace,"P4-Pepper","MODIFIERS","FOOD",4/21/2018,2,0,0,141
317 Marketplace,"P4-Salt","MODIFIERS","FOOD",4/21/2018,1,0,0,140
317 Marketplace,"P4-Spinach","MODIFIERS","FOOD",4/21/2018,2,0,0,120
317 Marketplace,"P4-Tomato","MODIFIERS","FOOD",4/21/2018,7,0,0,114
317 Marketplace,"P4-Vinegar","MODIFIERS","FOOD",4/21/2018,1,0,0,138
317 Marketplace,"Philly Cheesesteak","FAVORITES","FOOD",4/21/2018,13,98.64,100.75,186
317 Marketplace,"Project PB&J Wich","PRJCT PB&J","FOOD",4/21/2018,1,3,3,38
317 Marketplace,"REG Black Bean Patty!","VEG","FOOD",4/21/2018,5,27.79,30,532
317 Marketplace,"REG Buffalo Chicken!","Chicken","FOOD",4/21/2018,9,52.96,54,525
317 Marketplace,"REG Caprese!","VEG","FOOD",4/21/2018,2,12,12,531
317 Marketplace,"REG Chicken Pesto!","Chicken","FOOD",4/21/2018,4,24,24,526
317 Marketplace,"REG Chicken Salad!","CLASSIC","FOOD",4/21/2018,1,6,6,521
317 Marketplace,"REG Chicken!","Chicken","FOOD",4/21/2018,13,63,78,524
317 Marketplace,"REG Club!","CLASSIC","FOOD",4/21/2018,2,10.1,12,523
317 Marketplace,"REG Corned Beef!","Beef","FOOD",4/21/2018,1,5.54,6,540
317 Marketplace,"REG Double Meat","MODIFIERS","FOOD",4/21/2018,4,8,8,53
317 Marketplace,"REG French Dip!","Beef","FOOD",4/21/2018,5,30,30,541
